host_response_rate,host_acceptance_rate,host_listings_count,city,state,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews,room_type
N/A,N/A,1,Washington,DC,20005,38.90694,-77.03203,4,1,1,1,$115.00 ,$100.00 ,,2,365,51,Entire home/apt
N/A,N/A,2,Washington,DC,20009,38.91737,-77.0441,2,,1,,$45.00 ,,,1,1125,0,Entire home/apt
N/A,N/A,1,Washington,DC,20001,38.91947,-77.01187,4,3,2,2,$250.00 ,"$3,800.00 ",$160.00 ,14,30,0,Entire home/apt
100%,N/A,6,Washington,DC,20001,38.91492,-77.01724,3,1,0,1,$150.00 ,$100.00 ,$100.00 ,2,10,83,Entire home/apt
50%,N/A,6,Washington,DC,20007,38.91569,-77.07026,6,1,2,3,$299.00 ,,$130.00 ,3,365,11,Entire home/apt
100%,N/A,6,Washington,DC,20001,38.9158,-77.01674,8,2.5,3,3,$300.00 ,$250.00 ,$150.00 ,2,14,74,Entire home/apt
100%,N/A,3,Washington,DC,20002,38.91534,-77.00232,2,1,1,1,$70.00 ,,,1,14,4,Private room
N/A,N/A,1,Washington,DC,20009,38.90767,-77.0396,2,1,1,2,$125.00 ,,$75.00 ,180,360,16,Entire home/apt
50%,N/A,6,Washington,DC,20007,38.91498,-77.07086,2,1,1,1,$139.00 ,,$105.00 ,3,1125,5,Entire home/apt
N/A,N/A,3,Washington,DC,20009,38.91578,-77.02704,1,1,1,1,$57.00 ,$350.00 ,$115.00 ,28,120,30,Private room
N/A,N/A,3,Washington,DC,20009,38.91425,-77.02843,1,1,1,1,$60.00 ,$450.00 ,$135.00 ,14,120,36,Private room
N/A,N/A,1,Washington,DC,20002,38.91574,-77.0058,3,1,2,2,$120.00 ,$250.00 ,$50.00 ,3,25,7,Entire home/apt
40%,N/A,3,Washington,DC,20012,38.97122,-77.01537,2,1,1,1,$55.00 ,$250.00 ,$50.00 ,2,1125,13,Private room
50%,N/A,6,Washington,DC,20007,38.91638,-77.07053,2,1,1,2,$139.00 ,$0.00 ,$105.00 ,3,1125,10,Private room
100%,N/A,3,Washington,DC,20002,38.91502,-77.00153,1,1,1,1,$55.00 ,,,2,30,438,Private room
100%,N/A,2,Washington,DC,20009,38.92934,-77.03088,6,1,1,4,$125.00 ,$400.00 ,$90.00 ,4,180,234,Entire home/apt
97%,N/A,54,Washington,DC,20002,38.89705,-77.00146,4,1,1,2,$150.00 ,$0.00 ,$100.00 ,3,121,77,Entire home/apt
100%,N/A,8,Washington,DC,20020,38.84948,-76.97921,2,1,1,1,$70.00 ,$0.00 ,$0.00 ,2,1125,1,Private room
100%,N/A,1,Washington,DC,20016,38.9289,-77.08415,4,1,1,2,$135.00 ,$175.00 ,$70.00 ,2,7,4,Entire home/apt
100%,N/A,17,Washington,DC,20024,38.8723,-77.0114,3,1,1,1,$60.00 ,$200.00 ,$20.00 ,1,1125,498,Private room
100%,N/A,3,Washington,DC,20009,38.92537,-77.02761,6,1,0,3,$99.00 ,$200.00 ,$35.00 ,1,30,447,Entire home/apt
100%,N/A,3,Washington,DC,20002,38.89532,-76.98873,2,1,1,1,$105.00 ,$0.00 ,$35.00 ,2,30,631,Entire home/apt
100%,N/A,1,Washington,DC,20020,38.86048,-76.98921,2,1,1,1,$62.00 ,$0.00 ,$20.00 ,2,60,11,Private room
100%,N/A,5,Washington,DC,20008,38.93509,-77.05752,2,1,1,1,$99.00 ,$100.00 ,$50.00 ,90,1000,15,Entire home/apt
N/A,N/A,1,Washington,DC,20010,38.93103,-77.04064,1,1,1,1,$195.00 ,,,1,29,0,Private room
100%,N/A,1,Washington,DC,20001,38.91792,-77.01044,5,1,2,3,$80.00 ,$0.00 ,$75.00 ,7,21,12,Entire home/apt
100%,N/A,1,Washington,DC,20010,38.93432,-77.0418,4,1,1,2,$150.00 ,$0.00 ,$70.00 ,7,90,6,Entire home/apt
80%,N/A,1,Washington,DC,20009,38.91747,-77.03419,2,1,1,1,$80.00 ,$0.00 ,$70.00 ,26,1124,48,Entire home/apt
100%,N/A,7,Washington,DC,20009,38.92748,-77.03822,5,2,2,2,$249.00 ,$200.00 ,$200.00 ,21,365,17,Entire home/apt
100%,N/A,1,Washington,DC,20019,38.88336,-76.95063,6,2.5,2,4,$400.00 ,$200.00 ,$0.00 ,2,5,94,Entire home/apt
100%,N/A,1,Washington,DC,20009,38.91721,-77.02981,3,1,0,0,$105.00 ,$0.00 ,$99.00 ,1,365,164,Entire home/apt
100%,N/A,1,Washington,DC,20001,38.91022,-77.04116,2,1,1,1,$150.00 ,"$1,000.00 ",$85.00 ,180,1125,24,Entire home/apt
N/A,N/A,1,Washington,DC,20016,38.94829,-77.07325,5,3,3,3,$230.00 ,$300.00 ,$100.00 ,3,17,34,Entire home/apt
100%,N/A,1,Washington,DC,20007,38.92314,-77.07672,5,2.5,2,4,$110.00 ,,$25.00 ,1,30,323,Private room
N/A,N/A,2,Washington,DC,20007,38.91203,-77.06442,2,1,1,1,$80.00 ,,$100.00 ,300,300,12,Entire home/apt
100%,N/A,6,Washington,DC,20001,38.90692,-77.02424,4,1,1,2,$115.00 ,$400.00 ,$85.00 ,4,365,145,Entire home/apt
N/A,N/A,1,Washington,DC,20002,38.89318,-76.97821,4,1,2,2,$40.00 ,$100.00 ,$50.00 ,3,1125,18,Entire home/apt
100%,N/A,7,Washington,DC,20009,38.92747,-77.03845,2,1,1,1,$139.00 ,$500.00 ,$200.00 ,60,720,47,Entire home/apt
80%,N/A,1,Washington,DC,20002,38.91521,-77.00099,8,3,3,4,$500.00 ,$600.00 ,$85.00 ,2,30,10,Entire home/apt
80%,N/A,1,Washington,DC,20002,38.91299,-77.00237,8,1,2,4,$80.00 ,$300.00 ,$55.00 ,2,60,237,Entire home/apt
100%,N/A,2,Washington,DC,20008,38.94334,-77.07275,4,2,2,2,$115.00 ,$0.00 ,$0.00 ,2,1125,77,Private room
N/A,N/A,1,Washington,DC,20002,38.89725,-76.97125,2,1,1,1,$79.00 ,,$20.00 ,1,21,41,Private room
100%,N/A,1,Washington,DC,20016,38.93005,-77.10022,2,1,1,1,$60.00 ,$0.00 ,$60.00 ,3,1125,15,Entire home/apt
100%,N/A,2,Washington,DC,20003,38.8894,-76.98866,5,1,1,1,$145.00 ,$200.00 ,$50.00 ,2,90,180,Entire home/apt
N/A,N/A,1,Washington,DC,20016,38.92923,-77.10219,2,1,1,1,$85.00 ,$500.00 ,$50.00 ,7,180,17,Private room
79%,N/A,44,Washington,DC,20001,38.91908,-77.01404,1,1,1,1,$35.00 ,,$15.00 ,28,365,13,Private room
79%,N/A,44,Washington,DC,20010,38.93707,-77.02366,1,2,1,1,$39.00 ,,$15.00 ,5,360,12,Private room
100%,N/A,1,Washington,DC,20001,38.89918,-77.01643,4,1.5,1,2,$200.00 ,$300.00 ,$125.00 ,3,1125,36,Entire home/apt
100%,N/A,1,Washington,DC,20002,38.89391,-76.99773,4,1,1,2,$145.00 ,$350.00 ,$150.00 ,2,30,325,Entire home/apt
100%,N/A,3,Washington,DC,20008,38.91158,-77.05046,6,2.5,3,4,$575.00 ,$500.00 ,$125.00 ,1,7,31,Entire home/apt
100%,N/A,4,Washington,DC,20009,38.92049,-77.03358,5,1,2,2,$400.00 ,,$70.00 ,1,30,11,Entire home/apt
100%,N/A,3,Washington,DC,20008,38.91258,-77.04855,4,1.5,2,3,$185.00 ,$300.00 ,$125.00 ,1,31,72,Private room
100%,N/A,6,Washington,DC,20037,38.91009,-77.04714,4,1,1,2,$99.00 ,$300.00 ,$50.00 ,1,89,385,Private room
79%,N/A,44,Washington,DC,20001,38.91912,-77.01369,1,3,1,1,$28.00 ,,$15.00 ,4,365,9,Private room
100%,N/A,8,Washington,DC,20020,38.84873,-76.97871,2,1,1,1,$65.00 ,$0.00 ,$50.00 ,1,1125,19,Private room
100%,N/A,1,Washington,DC,20010,38.92983,-77.02263,1,1,1,1,$89.00 ,,,1,370,38,Private room
N/A,N/A,1,Washington,DC,20002,38.89149,-76.98959,6,,3,,"$2,000.00 ","$1,000.00 ",,4,4,0,Entire home/apt
N/A,N/A,1,Washington,DC,20001,38.91818,-77.01883,3,1.5,1,2,$90.00 ,"$1,000.00 ",$0.00 ,180,365,14,Entire home/apt
100%,N/A,1,Washington,DC,20002,38.89591,-76.99803,4,2.5,2,2,$225.00 ,,$80.00 ,3,26,68,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.91763,-77.0394,2,1,1,1,$105.00 ,,,1,1125,8,Entire home/apt
100%,N/A,1,Washington,DC,20011,38.9535,-76.9945,3,1,1,2,$85.00 ,"$2,500.00 ",$100.00 ,2,90,25,Entire home/apt
N/A,N/A,1,Washington,DC,20024,38.87491,-77.0155,2,1,1,1,$92.00 ,,,2,1125,3,Private room
