host_response_rate,host_acceptance_rate,host_listings_count,city,state,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews,room_type
0%,N/A,1,Washington,DC,20036,38.90921,-77.03831,3,1,1,1,$220.00 ,$500.00 ,$100.00 ,3,30,4,Entire home/apt
100%,N/A,5,Washington,DC,20009,38.91816,-77.02747,8,2,3,4,$125.00 ,"$1,000.00 ",$135.00 ,3,10,61,Entire home/apt
100%,N/A,1,Washington,DC,20002,38.91611,-77.00342,2,1,1,1,$73.00 ,$250.00 ,$50.00 ,4,1125,28,Entire home/apt
100%,N/A,1,Washington,DC,20002,38.89653,-76.9991,6,1,2,3,$150.00 ,$300.00 ,$135.00 ,1,30,197,Entire home/apt
N/A,N/A,1,Washington,DC,20015,38.95716,-77.07247,2,1,1,2,$35.00 ,,,1,6,19,Shared room
100%,N/A,43,Washington,DC,20009,38.92789,-77.02996,2,2,1,2,$69.00 ,$150.00 ,$18.00 ,1,1125,127,Private room
100%,N/A,43,Washington,DC,20009,38.92633,-77.02839,1,2,1,2,$37.00 ,$150.00 ,$9.00 ,1,1125,61,Shared room
100%,N/A,43,Washington,DC,20009,38.92648,-77.02899,1,2,1,2,$37.00 ,$150.00 ,$9.00 ,1,1125,52,Shared room
N/A,N/A,5,Washington,DC,20019,38.89981,-76.95183,1,1,1,1,$58.00 ,$300.00 ,$40.00 ,3,60,4,Private room
N/A,N/A,1,Washington,DC,20005,38.91138,-77.03149,2,1,0,1,$100.00 ,"$1,000.00 ",$100.00 ,3,5,5,Entire home/apt
N/A,N/A,0,Washington,DC,20009,38.91335,-77.04536,2,1,1,1,$120.00 ,$0.00 ,$60.00 ,3,15,5,Entire home/apt
100%,N/A,1,Washington,DC,20002,38.90414,-76.99521,4,1,1,2,$119.00 ,$0.00 ,$59.00 ,2,1125,229,Entire home/apt
N/A,N/A,1,Washington,DC,20001,38.9166,-77.02725,2,1,1,2,$105.00 ,,,2,1125,2,Private room
100%,N/A,73,Washington,DC,20002,38.89816,-77.00449,6,2,2,2,$299.00 ,$500.00 ,$115.00 ,3,1125,1,Entire home/apt
100%,N/A,1,Washington,DC,20011,38.95523,-77.02179,2,1.5,1,1,$55.00 ,,,14,1125,18,Private room
100%,N/A,1,Washington,DC,20002,38.89799,-76.99371,2,1,1,1,$115.00 ,$0.00 ,$45.00 ,2,20,276,Entire home/apt
100%,N/A,1,Washington,DC,20007,38.91018,-77.06673,2,1,1,1,$80.00 ,$0.00 ,$40.00 ,2,365,133,Private room
N/A,N/A,1,Washington,DC,20008,38.9523,-77.06778,4,1,1,2,$68.00 ,,$14.00 ,1,13,3,Entire home/apt
100%,N/A,3,Washington,DC,20019,38.89063,-76.92474,1,1.5,1,1,$59.00 ,$100.00 ,$10.00 ,45,1125,3,Private room
100%,N/A,14,Washington,DC,20009,38.91263,-77.03278,2,1,0,1,$131.00 ,$250.00 ,$75.00 ,2,90,126,Entire home/apt
100%,N/A,43,Washington,DC,20009,38.92774,-77.02974,2,2,1,1,$79.00 ,$150.00 ,$18.00 ,1,1125,70,Private room
N/A,N/A,1,Washington,DC,20020,38.86097,-76.98381,1,1,1,1,$37.00 ,,,2,1125,43,Private room
100%,N/A,1,Washington,DC,20018,38.93331,-76.98151,3,1,1,1,$100.00 ,$300.00 ,$50.00 ,1,1125,111,Entire home/apt
N/A,N/A,1,Washington,DC,20002,38.92011,-77.00357,2,1,1,1,$89.00 ,$0.00 ,$15.00 ,4,28,9,Entire home/apt
100%,N/A,1,Washington,DC,20017,38.92685,-76.98866,1,2,1,1,$36.00 ,,$25.00 ,2,45,103,Private room
100%,N/A,2,Washington,DC,20007,38.91404,-77.07122,2,1.5,1,1,$120.00 ,,$150.00 ,30,1125,8,Entire home/apt
97%,N/A,71,Washington,DC,20003,38.88155,-76.98736,7,2,4,4,$199.00 ,$500.00 ,$195.00 ,3,89,76,Entire home/apt
N/A,N/A,1,Washington,DC,20017,38.9313,-76.99692,3,1,1,2,$61.00 ,$0.00 ,$25.00 ,2,10,119,Private room
100%,N/A,2,Washington,DC,20009,38.91532,-77.04128,4,2,2,2,$400.00 ,$500.00 ,$125.00 ,4,1125,34,Entire home/apt
N/A,N/A,1,Washington,DC,20011,38.94649,-77.01804,2,1.5,1,1,$150.00 ,,,4,5,8,Private room
N/A,N/A,1,Washington,DC,20009,38.92105,-77.03341,3,1,1,1,$300.00 ,,,2,1125,0,Entire home/apt
100%,N/A,4,Washington,DC,20001,38.90675,-77.02494,8,2,4,4,$279.00 ,$0.00 ,$150.00 ,3,1125,21,Entire home/apt
N/A,N/A,0,Washington,DC,20002,38.905,-76.98036,1,2,1,1,$75.00 ,,$30.00 ,2,1125,11,Private room
100%,N/A,4,Washington,DC,20001,38.90815,-77.02482,6,1,3,3,$329.00 ,$200.00 ,$100.00 ,3,1125,6,Private room
100%,N/A,4,Washington,DC,20001,38.90607,-77.02337,2,1,1,0,$129.00 ,$200.00 ,$65.00 ,2,1125,5,Private room
N/A,N/A,1,Washington,DC,20001,38.91355,-77.01714,4,1,0,1,$112.00 ,,,1,1125,0,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.92145,-77.04702,2,1,1,1,$100.00 ,,,3,30,10,Entire home/apt
N/A,N/A,1,Washington,DC,20001,38.91357,-77.01339,3,1,1,1,$105.00 ,,$50.00 ,2,1125,21,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.92838,-77.03363,4,1,1,1,$82.00 ,$0.00 ,$50.00 ,2,1125,26,Entire home/apt
100%,N/A,2,Washington,DC,20003,38.88513,-77.00447,6,1,2,2,$129.00 ,$250.00 ,$55.00 ,2,30,149,Entire home/apt
100%,N/A,1,Washington,DC,20037,38.90233,-77.0516,4,1,2,2,$161.00 ,$0.00 ,$35.00 ,2,90,200,Entire home/apt
100%,N/A,1,Washington,DC,20011,38.95254,-77.01416,3,1,1,1,$72.00 ,$100.00 ,$100.00 ,2,1125,33,Entire home/apt
100%,N/A,4,Washington,DC,20017,38.93453,-76.98938,6,1,3,4,$131.00 ,$0.00 ,$15.00 ,2,1125,11,Entire home/apt
100%,N/A,3,Washington,DC,20002,38.90299,-76.99541,4,1.5,2,3,$179.00 ,,$90.00 ,2,1125,84,Entire home/apt
100%,N/A,14,Washington,DC,20010,38.93531,-77.03604,4,1,2,3,$129.00 ,$250.00 ,$85.00 ,2,28,78,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.91693,-77.04343,2,1,1,2,$109.00 ,$500.00 ,$30.00 ,30,270,19,Entire home/apt
100%,N/A,43,Washington,DC,20009,38.92705,-77.03013,1,2,1,2,$37.00 ,$150.00 ,$9.00 ,1,1125,40,Shared room
94%,N/A,2,Washington,DC,20002,38.90084,-76.97785,4,1,2,2,$90.00 ,$150.00 ,$20.00 ,1,60,217,Entire home/apt
100%,N/A,6,Washington,DC,20010,38.93135,-77.04301,1,1,1,2,$98.00 ,$0.00 ,$90.00 ,1,21,24,Entire home/apt
100%,N/A,1,Washington,DC,20001,38.91205,-77.01914,4,1,1,1,$165.00 ,$0.00 ,$65.00 ,2,1125,130,Entire home/apt
83%,N/A,1,Washington,DC,20011,38.94031,-77.0269,2,1,1,1,$87.00 ,$300.00 ,$25.00 ,3,31,69,Entire home/apt
100%,N/A,1,Washington,DC,20037,38.90332,-77.05027,2,1,0,1,$106.00 ,,$80.00 ,4,1125,7,Entire home/apt
100%,N/A,3,Washington,DC,20005,38.90889,-77.03275,5,2,2,3,$185.00 ,$0.00 ,$95.00 ,2,1125,170,Entire home/apt
100%,N/A,6,Washington,DC,20003,38.88737,-77.00018,2,1,1,1,$120.00 ,$500.00 ,$100.00 ,5,1125,11,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.91809,-77.04512,4,1,2,2,$131.00 ,,,1,1125,5,Entire home/apt
100%,N/A,2,Washington,DC,20002,38.89759,-76.98407,6,1.5,3,3,$250.00 ,$400.00 ,$90.00 ,4,28,1,Entire home/apt
100%,N/A,3,Washington,DC,20019,38.89858,-76.95266,2,1.5,2,2,$80.00 ,,,7,180,18,Private room
N/A,N/A,1,Washington,DC,20017,38.94336,-76.98687,2,1,1,1,$40.00 ,,,1,7,5,Private room
N/A,N/A,1,Takoma Park,MD,20912,38.97607,-77.01576,4,1,1,3,$200.00 ,$200.00 ,$60.00 ,2,90,2,Entire home/apt
100%,N/A,4,Washington,DC,20009,38.92414,-77.04523,1,1,1,1,$65.00 ,$100.00 ,$35.00 ,2,1125,159,Private room
93%,N/A,7,Washington,DC,20011,38.93912,-77.02684,3,1,1,6,$70.00 ,$150.00 ,$60.00 ,1,365,11,Entire home/apt
N/A,N/A,1,Washington,DC,20007,38.90798,-77.08593,3,1,1,2,$90.00 ,,,2,7,0,Entire home/apt
96%,N/A,5,Washington,DC,20008,38.92612,-77.0513,4,1,2,3,$170.00 ,,$40.00 ,3,21,131,Entire home/apt
N/A,N/A,2,Washington,DC,20001,38.90596,-77.02796,5,2,2,3,$200.00 ,,$35.00 ,1,1125,12,Entire home/apt
0%,N/A,6,Washington,DC,20001,38.92107,-77.00971,8,2,3,4,$225.00 ,$100.00 ,$150.00 ,2,1125,18,Entire home/apt
N/A,N/A,1,Washington,DC,20007,38.91836,-77.07054,2,1,1,1,$145.00 ,$100.00 ,$75.00 ,2,1125,16,Entire home/apt
100%,N/A,2,Washington,DC,20024,38.87641,-77.01086,6,1,2,3,$180.00 ,$0.00 ,$60.00 ,2,1125,135,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.91421,-77.03615,4,2,2,2,$300.00 ,,,2,60,0,Entire home/apt
100%,N/A,1,Washington,DC,20012,38.9808,-77.02679,12,4.5,6,9,$850.00 ,"$1,200.00 ",$300.00 ,2,1125,23,Entire home/apt
N/A,N/A,1,Washington,DC,20002,38.92157,-77.0015,2,1,1,1,$40.00 ,,$5.00 ,1,1125,14,Private room
N/A,N/A,1,Washington,DC,20005,38.91055,-77.03165,4,2.5,2,2,$300.00 ,,,7,90,0,Entire home/apt
N/A,N/A,1,Washington,DC,20001,38.90654,-77.02271,4,1,1,1,$225.00 ,$0.00 ,$35.00 ,2,1125,15,Entire home/apt
90%,N/A,1,Washington,DC,20001,38.91001,-77.01086,4,1,2,2,$110.00 ,,$35.00 ,2,1125,101,Private room
67%,N/A,1,Washington,DC,20003,38.88243,-76.9809,2,1,1,1,$200.00 ,$0.00 ,$30.00 ,3,29,61,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.92445,-77.03285,2,1,1,2,$110.00 ,$0.00 ,$60.00 ,3,12,2,Entire home/apt
100%,N/A,43,Washington,DC,20009,38.9269,-77.03052,1,2,1,2,$37.00 ,$150.00 ,$9.00 ,1,1125,51,Shared room
100%,N/A,43,Washington,DC,20009,38.92685,-77.02872,1,2,1,2,$37.00 ,$150.00 ,$9.00 ,1,1125,56,Shared room
100%,N/A,1,Washington,DC,20007,38.91143,-77.06649,4,1.5,2,2,$170.00 ,$165.00 ,$80.00 ,2,30,129,Entire home/apt
N/A,N/A,1,Washington,DC,20011,38.94988,-77.01932,2,1,1,1,$75.00 ,,,1,60,2,Private room
100%,N/A,43,Washington,DC,20009,38.92837,-77.02838,1,2,1,2,$37.00 ,$150.00 ,$9.00 ,1,1125,26,Shared room
100%,N/A,43,Washington,DC,20009,38.92663,-77.02978,2,2,1,1,$89.00 ,$150.00 ,$18.00 ,1,1125,91,Private room
100%,N/A,43,Washington,DC,20009,38.92632,-77.02862,2,2,1,2,$79.00 ,$150.00 ,$18.00 ,1,1125,66,Private room
100%,N/A,1,Washington,DC,20018,38.93076,-76.98292,2,1,1,1,$72.00 ,$0.00 ,$50.00 ,2,89,92,Entire home/apt
100%,N/A,2,Washington,DC,20001,38.91012,-77.01904,1,1,1,1,$80.00 ,$250.00 ,$65.00 ,4,14,23,Private room
100%,N/A,1,Washington,DC,20010,38.93307,-77.02366,2,1,1,1,$159.00 ,,,2,7,3,Entire home/apt
100%,N/A,56,Washington,DC,20003,38.88017,-77.00771,3,1,1,1,$169.00 ,$0.00 ,$150.00 ,12,1120,2,Entire home/apt
100%,N/A,5,Washington,DC,20001,38.91291,-77.01948,2,2,1,2,$99.00 ,$250.00 ,$55.00 ,2,180,37,Private room
100%,N/A,1,Washington,DC,20052,38.90035,-77.04732,2,1,1,1,$50.00 ,$200.00 ,,1,1125,123,Shared room
100%,N/A,5,Washington,DC,20001,38.91146,-77.01821,2,2,1,1,$110.00 ,$250.00 ,$55.00 ,2,180,20,Private room
100%,N/A,1,Washington,DC,20009,38.92806,-77.04273,3,1,0,2,$79.00 ,$100.00 ,$45.00 ,2,1125,162,Entire home/apt
100%,N/A,5,Washington,DC,20001,38.91234,-77.01957,8,2,4,6,$267.00 ,$400.00 ,$125.00 ,2,180,52,Entire home/apt
100%,N/A,1,Washington,DC,20010,38.92818,-77.02704,2,1,1,1,$115.00 ,$0.00 ,$0.00 ,2,14,49,Entire home/apt
100%,N/A,1,Washington,DC,20009,38.91717,-77.0386,4,1,1,1,$160.00 ,$0.00 ,$50.00 ,3,1125,12,Entire home/apt
100%,N/A,3,Washington,DC,20020,38.87294,-76.97248,5,1,2,3,$80.00 ,,$50.00 ,3,1125,31,Entire home/apt
100%,N/A,1,Washington,DC,20010,38.93101,-77.02729,4,1,1,2,$99.00 ,$100.00 ,$49.00 ,2,1125,80,Entire home/apt
N/A,N/A,1,Washington,DC,20002,38.8968,-76.97569,4,1,2,3,$125.00 ,$200.00 ,$60.00 ,4,1125,5,Entire home/apt
N/A,N/A,2,Washington,DC,20001,38.9003,-77.01927,2,1,1,1,$145.00 ,$250.00 ,$10.00 ,2,5,9,Private room
N/A,N/A,0,Washington,DC,20011,38.95813,-77.0153,8,2.5,3,3,$95.00 ,,,3,30,0,Entire home/apt
N/A,N/A,2,Washington,DC,20002,38.8981,-76.97461,2,1,1,1,$49.00 ,$0.00 ,$35.00 ,3,20,45,Private room
100%,N/A,2,Washington,DC,20017,38.95108,-76.98861,1,1.5,1,1,$78.00 ,$0.00 ,$15.00 ,2,14,2,Private room
100%,N/A,3,Washington,DC,20019,38.89817,-76.95293,1,1.5,1,1,$80.00 ,,,7,150,11,Private room
100%,N/A,2,Washington,DC,20002,38.90471,-76.99688,10,2,3,7,$170.00 ,$500.00 ,$200.00 ,1,1125,60,Entire home/apt
100%,N/A,1,Washington,DC,20011,38.94185,-77.00484,2,1,1,1,$63.00 ,$100.00 ,$50.00 ,21,90,10,Entire home/apt
N/A,N/A,1,Washington,DC,20001,38.90521,-77.01665,6,2.5,2,4,$200.00 ,,,2,1125,10,Entire home/apt
100%,N/A,43,Washington,DC,20009,38.92683,-77.02999,1,2,1,2,$37.00 ,$150.00 ,$9.00 ,1,1125,51,Shared room
100%,N/A,1,Washington,DC,20010,38.93034,-77.03963,4,1,1,2,$88.00 ,$100.00 ,$65.00 ,1,1125,74,Entire home/apt
99%,N/A,13,Washington,DC,20009,38.91955,-77.04582,4,1,1,2,$145.00 ,$0.00 ,$75.00 ,1,750,135,Entire home/apt
N/A,N/A,1,Washington,DC,20001,38.91572,-77.01205,10,2.5,4,5,$395.00 ,$500.00 ,,2,1125,0,Entire home/apt
N/A,N/A,1,Washington,DC,20007,38.91041,-77.03557,3,1.5,0,2,$273.00 ,$423.00 ,,7,14,0,Entire home/apt
N/A,N/A,1,Washington,DC,20011,38.94173,-77.03739,16,5.5,9,10,"$1,000.00 ",$0.00 ,$400.00 ,3,60,27,Entire home/apt
100%,N/A,3,Washington,DC,20001,38.90625,-77.01773,2,1,1,2,$146.00 ,$500.00 ,$50.00 ,3,30,183,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.92199,-77.04442,3,2,1,1,$130.00 ,,,3,90,0,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.92162,-77.04113,2,1,1,1,$89.00 ,$100.00 ,$40.00 ,2,65,3,Private room
100%,N/A,1,Washington,DC,20009,38.92288,-77.04651,4,1,1,2,$109.00 ,$500.00 ,$40.00 ,3,30,154,Entire home/apt
75%,N/A,2,Washington,DC,20012,38.97463,-77.01657,2,1,1,1,$75.00 ,,,1,1125,110,Shared room
N/A,N/A,0,Washington,DC,20002,38.90473,-76.98045,2,2,1,1,$60.00 ,,$30.00 ,2,14,39,Private room
93%,N/A,5,Washington,DC,20037,38.90248,-77.05235,4,1,0,2,$131.00 ,$0.00 ,$65.00 ,1,800,189,Entire home/apt
100%,N/A,2,Washington,DC,20003,38.88114,-76.99323,2,1.5,1,1,$90.00 ,$150.00 ,$65.00 ,7,1125,23,Private room
100%,N/A,3,Washington,DC,20010,38.93017,-77.04357,2,1,1,1,$85.00 ,,$45.00 ,1,6,73,Private room
100%,N/A,3,Washington,DC,20010,38.93092,-77.04339,6,3,4,4,$350.00 ,$0.00 ,$135.00 ,2,1125,21,Entire home/apt
100%,N/A,3,Washington,DC,20001,38.90695,-77.01889,4,2,2,2,$250.00 ,$500.00 ,$75.00 ,3,1125,136,Entire home/apt
N/A,N/A,1,Washington,DC,20012,38.99388,-77.0402,2,1,1,1,$99.00 ,,,1,90,0,Private room
N/A,N/A,2,Washington,DC,20019,38.88855,-76.93929,2,1.5,1,1,$42.00 ,,,3,100,128,Private room
N/A,N/A,3,Washington,DC,20008,38.93853,-77.0666,2,1,1,1,$69.00 ,$100.00 ,$35.00 ,2,1125,6,Private room
100%,N/A,2,Washington,DC,20007,38.90806,-77.0626,2,1,2,3,$125.00 ,$0.00 ,$44.00 ,3,21,204,Private room
97%,N/A,71,Washington,DC,20002,38.89655,-76.99157,4,1,1,2,$149.00 ,$300.00 ,$90.00 ,3,89,83,Entire home/apt
100%,N/A,1,Washington,DC,20001,38.91721,-77.01233,4,1,1,2,$115.00 ,$0.00 ,$60.00 ,2,1125,97,Entire home/apt
N/A,N/A,1,Washington,DC,20001,38.91205,-77.01636,4,1,2,2,$140.00 ,$0.00 ,$30.00 ,3,1125,4,Entire home/apt
100%,N/A,1,Washington,DC,20032,38.8438,-76.9818,4,1,1,1,$80.00 ,$250.00 ,$0.00 ,1,14,30,Entire home/apt
100%,N/A,2,Washington,DC,20019,38.89191,-76.95881,2,1,1,1,$51.00 ,$0.00 ,$20.00 ,3,1125,21,Private room
100%,N/A,5,Washington,DC,20001,38.91139,-77.0187,2,2,1,2,$89.00 ,$250.00 ,$55.00 ,2,30,44,Private room
100%,N/A,2,Washington,DC,20019,38.89206,-76.95916,2,1,1,1,$46.00 ,$0.00 ,$10.00 ,3,1125,20,Private room
N/A,N/A,1,Washington,DC,20017,38.92893,-76.99262,3,1,0,1,$125.00 ,$0.00 ,$20.00 ,2,1125,7,Entire home/apt
100%,N/A,1,Washington,DC,20001,38.91714,-77.01001,4,1,1,2,$95.00 ,$0.00 ,$50.00 ,2,30,66,Entire home/apt
100%,N/A,1,Washington,DC,20001,38.92815,-77.0244,4,1,0,1,$70.00 ,$0.00 ,$25.00 ,2,30,53,Entire home/apt
100%,N/A,6,Washington,DC,20012,38.9758,-77.01612,15,3,1,12,$28.00 ,$0.00 ,$0.00 ,1,7,16,Shared room
N/A,N/A,2,Washington,DC,20019,38.9014,-76.93446,4,1,1,1,$23.00 ,$0.00 ,$0.00 ,1,30,15,Shared room
100%,N/A,2,Washington,DC,20024,38.88218,-77.02302,2,1,0,1,$107.00 ,,$75.00 ,2,27,14,Entire home/apt
N/A,N/A,1,Washington,DC,20036,38.91045,-77.04114,4,1,1,1,$135.00 ,$0.00 ,$50.00 ,2,1125,8,Entire home/apt
90%,N/A,1,Washington,DC,20010,38.92873,-77.03047,4,1,2,2,$140.00 ,$500.00 ,$70.00 ,3,1125,69,Entire home/apt
100%,N/A,1,Washington,DC,20003,38.88251,-77.00507,2,1,0,1,$150.00 ,$350.00 ,$65.00 ,1,1125,121,Entire home/apt
97%,N/A,71,Washington,DC,20009,38.91428,-77.03588,4,1,1,1,$139.00 ,$300.00 ,$75.00 ,2,89,114,Entire home/apt
100%,N/A,2,Washington,DC,20003,38.88938,-76.99553,1,1.5,0,2,$68.00 ,,$25.00 ,2,1125,56,Private room
100%,N/A,1,Washington,DC,20001,38.90718,-77.0253,3,1,1,2,$175.00 ,,$50.00 ,2,1125,107,Entire home/apt
98%,N/A,54,Washington,DC,20002,38.89366,-76.99449,10,3.5,4,6,$700.00 ,$0.00 ,$225.00 ,3,1125,84,Entire home/apt
100%,N/A,1,Washington,DC,20011,38.94284,-77.03916,4,1,0,2,$90.00 ,,$45.00 ,3,60,5,Entire home/apt
100%,N/A,1,Washington,DC,20002,38.90544,-76.9886,2,1,1,1,$64.00 ,$200.00 ,$20.00 ,1,365,16,Private room
83%,N/A,1,Washington,DC,20007,38.91052,-77.08051,3,1,1,1,$125.00 ,$250.00 ,$25.00 ,1,1125,98,Entire home/apt
100%,N/A,6,Washington,DC,20003,38.8873,-76.99993,2,1,1,0,$135.00 ,$500.00 ,$90.00 ,10,180,24,Entire home/apt
100%,N/A,1,Washington,DC,20009,38.91669,-77.04096,1,1.5,1,1,$65.00 ,$0.00 ,$15.00 ,2,1125,44,Private room
100%,N/A,1,Washington,DC,20001,38.90704,-77.02501,16,3,6,9,$295.00 ,$250.00 ,$225.00 ,2,30,191,Entire home/apt
100%,N/A,1,Washington,DC,20010,38.93488,-77.02014,4,2,2,2,$120.00 ,$100.00 ,,4,1124,54,Entire home/apt
N/A,N/A,1,Washington,DC,20003,38.88627,-76.97861,2,1,1,1,$55.00 ,,,2,1125,0,Private room
100%,N/A,1,Washington,DC,20024,38.87946,-77.01621,2,1,1,1,$65.00 ,$0.00 ,$0.00 ,1,31,68,Private room
N/A,N/A,1,Washington,DC,20004,38.89868,-77.02545,4,1,1,2,$167.00 ,,$40.00 ,2,1125,2,Entire home/apt
100%,N/A,3,Washington,DC,20017,38.94835,-76.98796,4,1,1,1,$75.00 ,$0.00 ,$40.00 ,2,1125,97,Entire home/apt
100%,N/A,7,Washington,DC,20037,38.90271,-77.04985,3,1,0,1,$50.00 ,$0.00 ,$52.00 ,1,1125,224,Entire home/apt
N/A,N/A,1,Washington,DC,20019,38.89628,-76.93579,7,2.5,5,7,$133.00 ,$250.00 ,$55.00 ,1,30,20,Entire home/apt
N/A,N/A,2,Washington,DC,20001,38.91874,-77.02373,2,1,0,1,$90.00 ,,,3,10,4,Entire home/apt
N/A,N/A,1,Washington,DC,20010,38.93039,-77.03664,3,1,0,1,$90.00 ,,$35.00 ,2,1125,8,Entire home/apt
N/A,N/A,1,Washington,DC,20001,38.9113,-77.01206,2,1,1,1,$89.00 ,,,1,1125,18,Private room
100%,N/A,2,Washington,DC,20002,38.89777,-77.00232,6,3.5,4,4,$415.00 ,$750.00 ,$195.00 ,2,60,34,Entire home/apt
N/A,N/A,1,Washington,DC,20005,38.90577,-77.03056,2,1,1,1,$90.00 ,,$20.00 ,2,1125,2,Private room
100%,N/A,4,Washington,DC,20018,38.9321,-76.97054,3,1.5,1,1,$40.00 ,$0.00 ,$10.00 ,2,30,112,Private room
100%,N/A,44,Washington,DC,20019,38.89756,-76.94618,2,2,1,1,$38.00 ,$0.00 ,$0.00 ,2,1125,34,Private room
N/A,N/A,1,Washington,DC,20017,38.9402,-76.98683,6,1,3,3,$130.00 ,$0.00 ,$150.00 ,3,100,7,Entire home/apt
100%,N/A,44,Washington,DC,20019,38.89785,-76.94483,1,2,1,1,$36.00 ,,,2,1125,11,Private room
100%,N/A,1,Washington,DC,20010,38.93198,-77.02601,3,1,1,2,$80.00 ,$0.00 ,$40.00 ,2,31,186,Entire home/apt
N/A,N/A,1,Washington,DC,20002,38.89533,-76.97825,6,2,2,4,$150.00 ,$0.00 ,$75.00 ,2,31,68,Entire home/apt
100%,N/A,44,Washington,DC,20019,38.89715,-76.94428,2,1,1,1,$40.00 ,$0.00 ,$0.00 ,2,1125,18,Private room
100%,N/A,44,Washington,DC,20019,38.89752,-76.94445,2,2,1,1,$40.00 ,$0.00 ,$0.00 ,2,1125,13,Private room
100%,N/A,1,Washington,DC,20001,38.91478,-77.01806,2,1,1,1,$75.00 ,$0.00 ,$35.00 ,1,15,74,Private room
97%,N/A,71,Washington,DC,20011,38.93877,-77.02439,4,1,1,2,$109.00 ,$300.00 ,$90.00 ,2,89,78,Entire home/apt
100%,N/A,3,Washington,DC,20002,38.89998,-76.97833,4,1,1,2,$64.00 ,$150.00 ,$60.00 ,1,365,147,Entire home/apt
N/A,N/A,1,Washington,DC,20024,38.87865,-77.01635,2,1,0,1,$51.00 ,$0.00 ,$20.00 ,2,1125,8,Entire home/apt
100%,N/A,6,Washington,DC,20037,38.90955,-77.04569,4,1,1,2,$99.00 ,$300.00 ,$50.00 ,1,89,141,Private room
100%,N/A,6,Washington,DC,20037,38.90938,-77.04575,4,1,1,2,$99.00 ,$300.00 ,$50.00 ,1,89,167,Private room
100%,N/A,6,Washington,DC,20037,38.90845,-77.04645,12,3,3,6,$499.00 ,"$1,000.00 ",$145.00 ,1,89,3,Private room
100%,N/A,6,Washington,DC,20037,38.90712,-77.04735,8,2,2,4,$199.00 ,$700.00 ,$85.00 ,1,89,3,Private room
100%,N/A,1,Washington,DC,20010,38.93397,-77.02007,6,2.5,2,3,$120.00 ,,$100.00 ,2,1125,53,Entire home/apt
100%,N/A,1,Washington,DC,20001,38.92654,-77.02252,2,1,1,1,$99.00 ,$0.00 ,$49.00 ,1,1125,176,Entire home/apt
100%,N/A,1,Washington,DC,20019,38.89358,-76.94856,8,1.5,2,5,$170.00 ,$100.00 ,$100.00 ,2,1125,20,Entire home/apt
N/A,N/A,1,Washington,DC,20009,38.91186,-77.0296,3,1,1,1,$93.00 ,,,1,5,3,Entire home/apt
N/A,N/A,2,Washington,DC,20009,38.91691,-77.04012,5,1,1,2,$150.00 ,$0.00 ,$25.00 ,2,1124,1,Entire home/apt
N/A,N/A,1,Washington,DC,20010,38.92952,-77.02427,2,2,1,1,$115.00 ,,$15.00 ,2,6,2,Private room
100%,N/A,1,Washington,DC,20020,38.85875,-76.98704,2,1,1,1,$85.00 ,$0.00 ,$25.00 ,7,1125,51,Entire home/apt
N/A,N/A,1,Washington,DC,20008,38.94364,-77.06075,1,1,0,1,$95.00 ,,,1,7,1,Entire home/apt
N/A,N/A,1,Washington,DC,20012,38.97459,-77.0238,2,1,1,1,$50.00 ,,,2,4,20,Private room
100%,N/A,1,Washington,DC,20011,38.95218,-77.01195,10,2,3,5,$250.00 ,$250.00 ,$150.00 ,3,30,11,Entire home/apt
N/A,N/A,1,Washington,DC,20010,38.93246,-77.03989,3,2,2,2,$400.00 ,,$75.00 ,2,1125,1,Entire home/apt
100%,N/A,1,Washington,DC,20010,38.93599,-77.03367,4,1,1,2,$94.00 ,$0.00 ,$55.00 ,1,1125,248,Entire home/apt
N/A,N/A,1,Washington,DC,20002,38.91122,-77.00202,10,3.5,4,5,$375.00 ,,$150.00 ,4,1125,0,Entire home/apt
100%,N/A,3,Washington,DC,20007,38.92778,-77.06898,2,1,1,1,$90.00 ,$0.00 ,$25.00 ,1,60,84,Private room
100%,N/A,43,Washington,DC,20009,38.92664,-77.02837,2,2,1,2,$69.00 ,$150.00 ,$18.00 ,1,1125,137,Private room
100%,N/A,1,Washington,DC,20001,38.91075,-77.02416,3,1,1,1,$90.00 ,,$40.00 ,2,1125,147,Private room
N/A,N/A,1,Washington,DC,20009,38.922,-77.04427,2,1,1,1,$73.00 ,$0.00 ,$15.00 ,5,1125,29,Private room
100%,N/A,1,Washington,DC,20001,38.90573,-77.01969,6,2,2,3,$191.00 ,$250.00 ,$135.00 ,2,30,140,Entire home/apt
100%,N/A,21,Washington,DC,20002,38.91662,-77.00381,2,1,1,1,$55.00 ,$300.00 ,$30.00 ,2,1125,42,Private room
